grid degree lamb width ; KAN_time ; KAN_acc ; current_best_mlp ; MLP_time ; layers neurons
3 4 0 [64, 74, 10] ; 102573005 ; 0.9777777791023254 ; 1.0 ; 16396846 ;  2 _ 210
3 4 0 [64, 76, 10] ; 85131819 ; 0.970370352268219 ; 1.0 ; 20876952 ;  2 _ 213
3 4 0 [64, 78, 10] ; 93040837 ; 0.9740740656852722 ; 1.0 ; 19124680 ;  2 _ 216
3 4 0 [64, 80, 10] ; 103198090 ; 0.9629629850387573 ; 1.0 ; 20094753 ;  2 _ 219
3 4 0 [64, 82, 10] ; 113644871 ; 0.9777777791023254 ; 1.0 ; 15441186 ;  2 _ 222
3 4 0 [64, 84, 10] ; 106666516 ; 0.9666666388511658 ; 1.0 ; 19043419 ;  2 _ 225
3 4 0 [64, 86, 10] ; 118991907 ; 0.970370352268219 ; 1.0 ; 19538291 ;  2 _ 228
3 4 0 [64, 88, 10] ; 96625638 ; 0.9592592716217041 ; 1.0 ; 24289146 ;  2 _ 231
3 4 0 [64, 90, 10] ; 98719016 ; 0.9740740656852722 ; 1.0 ; 23006112 ;  2 _ 234
3 4 0 [64, 92, 10] ; 136955141 ; 0.9740740656852722 ; 1.0 ; 21705024 ;  2 _ 236
3 4 0 [64, 94, 10] ; 132926002 ; 0.970370352268219 ; 1.0 ; 19788071 ;  2 _ 239
3 4 0 [64, 96, 10] ; 160640588 ; 0.9740740656852722 ; 1.0 ; 19491416 ;  2 _ 242
3 4 0 [64, 98, 10] ; 121406079 ; 0.9740740656852722 ; 1.0 ; 23652967 ;  2 _ 245
3 4 0 [64, 100, 10] ; 119840590 ; 0.9740740656852722 ; 1.0 ; 25722674 ;  2 _ 247
3 4 0 [64, 102, 10] ; 146765247 ; 0.9629629850387573 ; 1.0 ; 20820385 ;  2 _ 250
3 4 0 [64, 104, 10] ; 161301714 ; 0.970370352268219 ; 1.0 ; 23371026 ;  2 _ 252
3 4 0 [64, 106, 10] ; 136616388 ; 0.970370352268219 ; 1.0 ; 26294842 ;  2 _ 255
3 4 0 [64, 108, 10] ; 153181477 ; 0.970370352268219 ; 1.0 ; 25846076 ;  2 _ 258
3 4 0 [64, 110, 10] ; 141402559 ; 0.970370352268219 ; 1.0 ; 24609223 ;  2 _ 260
3 4 0 [64, 112, 10] ; 151181625 ; 0.970370352268219 ; 1.0 ; 25829414 ;  2 _ 263
3 4 0 [64, 114, 10] ; 153601209 ; 0.9777777791023254 ; 1.0 ; 26044692 ;  2 _ 265
